hidden_dims,activation,dropout_rate,lr,weight_decay,clip_value,epochs,early_stopping_patience,use_bn,val_mse,time_s,order
"[128, 64, 32]",leaky_relu,0.3,0.0005,0.001,1.0,80,15,True,0.2883383631706238,85.78297257423401,32
"[128, 64, 32]",relu,0.3,0.0005,0.001,1.0,80,15,True,0.28954678773880005,81.4564151763916,24
"[128, 64, 32]",relu,0.3,0.0005,0.0001,1.0,80,15,True,0.2981484532356262,81.50258731842041,23
"[128, 64, 32]",leaky_relu,0.3,0.0005,0.0001,1.0,80,15,True,0.29864856600761414,97.8679621219635,31
"[128, 64, 32]",relu,0.3,0.001,0.0001,1.0,80,15,True,0.3011559545993805,70.58466362953186,21
"[64, 32]",leaky_relu,0.1,0.001,0.001,1.0,80,15,True,0.30598217248916626,35.82065534591675,10
"[128, 64, 32]",relu,0.3,0.001,0.001,1.0,80,15,True,0.30618637800216675,52.18380260467529,22
"[64, 32]",relu,0.1,0.0005,0.001,1.0,80,15,True,0.3067537844181061,44.58295130729675,4
"[128, 64, 32]",leaky_relu,0.3,0.001,0.001,1.0,80,15,True,0.3071783781051636,49.225048542022705,30
"[64, 32]",leaky_relu,0.1,0.0005,0.001,1.0,80,15,True,0.30810287594795227,43.57860827445984,12
"[128, 64, 32]",leaky_relu,0.3,0.001,0.0001,1.0,80,15,True,0.3111872971057892,62.687581300735474,29
"[64, 32]",leaky_relu,0.1,0.0005,0.0001,1.0,80,15,True,0.3131350874900818,43.965293645858765,11
"[64, 32]",relu,0.1,0.001,0.001,1.0,80,15,True,0.3142063021659851,28.987696170806885,2
"[64, 32]",leaky_relu,0.1,0.001,0.0001,1.0,80,15,True,0.3181025981903076,33.78450608253479,9
"[64, 32]",relu,0.1,0.0005,0.0001,1.0,80,15,True,0.3184881806373596,42.6987247467041,3
"[64, 32]",relu,0.1,0.001,0.0001,1.0,80,15,True,0.326763391494751,21.871904134750366,1
"[64, 32]",relu,0.3,0.001,0.001,1.0,80,15,True,0.32799434661865234,46.82206988334656,6
"[64, 32]",relu,0.3,0.001,0.0001,1.0,80,15,True,0.33477139472961426,47.065518379211426,5
"[64, 32]",relu,0.3,0.0005,0.0001,1.0,80,15,True,0.33968013525009155,55.642287254333496,7
"[64, 32]",leaky_relu,0.3,0.001,0.0001,1.0,80,15,True,0.3397443890571594,49.88387703895569,13
"[64, 32]",relu,0.3,0.0005,0.001,1.0,80,15,True,0.3439576029777527,49.70512580871582,8
"[64, 32]",leaky_relu,0.3,0.0005,0.001,1.0,80,15,True,0.3450915813446045,43.366320848464966,16
"[64, 32]",leaky_relu,0.3,0.001,0.001,1.0,80,15,True,0.3477257490158081,32.5500922203064,14
"[64, 32]",leaky_relu,0.3,0.0005,0.0001,1.0,80,15,True,0.3479584753513336,44.11746144294739,15
"[256, 128, 64]",leaky_relu,0.3,0.001,0.0001,1.0,80,15,True,0.3543590009212494,32.96913123130798,45
"[256, 128, 64]",relu,0.1,0.0005,0.001,1.0,80,15,True,0.37458643317222595,20.081039428710938,36
"[256, 128, 64]",relu,0.3,0.001,0.0001,1.0,80,15,True,0.3757418096065521,32.16884231567383,37
"[256, 128, 64]",leaky_relu,0.3,0.001,0.001,1.0,80,15,True,0.3765430450439453,35.99221205711365,46
"[256, 128, 64]",relu,0.1,0.0005,0.0001,1.0,80,15,True,0.3802831768989563,20.00010895729065,35
"[256, 128, 64]",leaky_relu,0.1,0.001,0.0001,1.0,80,15,True,0.3853875696659088,19.930773735046387,41
"[256, 128, 64]",leaky_relu,0.1,0.001,0.001,1.0,80,15,True,0.38589194416999817,19.852301359176636,42
"[256, 128, 64]",relu,0.1,0.001,0.0001,1.0,80,15,True,0.3882233500480652,18.84082055091858,33
"[256, 128, 64]",leaky_relu,0.1,0.0005,0.0001,1.0,80,15,True,0.39236000180244446,19.566404104232788,43
"[128, 64, 32]",relu,0.1,0.001,0.001,1.0,80,15,True,0.3990464210510254,20.817570209503174,18
"[256, 128, 64]",leaky_relu,0.3,0.0005,0.0001,1.0,80,15,True,0.39920204877853394,46.03740644454956,47
"[256, 128, 64]",relu,0.3,0.001,0.001,1.0,80,15,True,0.40290528535842896,23.67887830734253,38
"[128, 64, 32]",leaky_relu,0.1,0.0005,0.001,1.0,80,15,True,0.4038691520690918,21.32620334625244,28
"[256, 128, 64]",relu,0.3,0.0005,0.001,1.0,80,15,True,0.4055190682411194,49.75270938873291,40
"[256, 128, 64]",relu,0.3,0.0005,0.0001,1.0,80,15,True,0.40615564584732056,46.221028327941895,39
"[256, 128, 64]",leaky_relu,0.1,0.0005,0.001,1.0,80,15,True,0.40902388095855713,19.96580743789673,44
"[256, 128, 64]",relu,0.1,0.001,0.001,1.0,80,15,True,0.4121784567832947,22.461464166641235,34
"[128, 64, 32]",leaky_relu,0.1,0.001,0.0001,1.0,80,15,True,0.4154488444328308,18.192424058914185,25
"[128, 64, 32]",relu,0.1,0.001,0.0001,1.0,80,15,True,0.4166816174983978,18.274134159088135,17
"[128, 64, 32]",relu,0.1,0.0005,0.0001,1.0,80,15,True,0.4167328178882599,21.551198482513428,19
"[128, 64, 32]",relu,0.1,0.0005,0.001,1.0,80,15,True,0.42415979504585266,21.790913581848145,20
"[256, 128, 64]",leaky_relu,0.3,0.0005,0.001,1.0,80,15,True,0.4263980984687805,34.50895953178406,48
"[128, 64, 32]",leaky_relu,0.1,0.0005,0.0001,1.0,80,15,True,0.42653048038482666,20.974883317947388,27
"[128, 64, 32]",leaky_relu,0.1,0.001,0.001,1.0,80,15,True,0.43408873677253723,16.70383858680725,26
